`courseid`	`course`	`coursename`	`credit`	`required`	`description`
`053344`	`ECON421`	`Introduction to Econometrics`	`3`	`You must have completed ECON 311 and ECON 312 and STAT 351 with a grade of "C" or better before taking this class.`	`Fundamentals of regression methods applied to empirical analysis of economic phenomena. Topics include single-equation regression models with classical assumptions, special econometric techniques for non-classical regression models and simultaneous-equations models.`
`053345`	`ECON422`	`Topics in Econometrics`	`3`	`You must complete ECON 421 with a grade of "C" or better before taking this class.`	`Selected advanced topics in econometrics.`
`053346`	`ECON423`	`Economic Forecasting`	`3`	`You must have completed ECON 312 and STAT 351 (or its equivalent) with a grade of "C" or better before taking this class.`	`Study of the application of economic statistics to forecasting problems. Topics covered include analysis of cross-section and time-series data, use of published economic indicator series and forecasting methodology.`
`053348`	`ECON433`	`Urban Economics`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Analysis of the economic aspects of urban problems and of alternative public policy of local, state and federal government. Topics are government expenditure, location, tax theory and borrowing policy, employment, income, poverty and welfare, housing and urban renewal, environmental quality, transportation and public overhead capital, and public services.`
`053349`	`ECON434`	`Regional Economics`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Economic analysis of the location of economic activity. Topics covered include theories of location choice, transportation costs, migration, land use, regional development and government policies affecting regional development.`
`053351`	`ECON437`	`The Economics of Natural Resources`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Economic theory of the use of renewable and non-renewable resources. Economic theory is used to determine optimal pricing and use of natural resources, both in the current period and over time. Actual markets and institutions for selected resources, such as energy resources, are studied in some detail.`
`053352`	`ECON439`	`Environmental Economics`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Economic analysis of the causes, effects and alternative solutions of the problems of air pollution, water pollution and toxic wastes. Economic theory is applied to define environmental quality goals and to analyze alternative policies for achieving these goals.`
`053353`	`ECON441`	`American Economic History`	`3`	`You must have completed ECON 311 or ECON 312 with a grade of "C" or better before taking this class.`	`A survey of the growth and development of the American economy from colonial times to the present.`
`053354`	`ECON442`	`European Economic History`	`3`	`You must take ECON 311 and ECON 312 with a grade of "C" or better before taking this class.`	`A survey of European economic history from prehistoric times to the present.`
`053355`	`ECON443`	`History of Economic Thought I`	`3`	`You must take ECON 311 and ECON 312 with a grade of "C" or better before taking this class.`	`Survey and analysis of major developments in economic thought from ancient times through the middle of the 19th century. Mercantilism, physiocracy, the classical economics of Adam Smith and David Ricardo, and the economic ideas of Karl Marx.`
`053356`	`ECON444`	`History of Economic Thought II`	`3`	`You must take ECON 311 and ECON 312 with a grade of "C" or better before taking this class.`	`Survey and analysis of major developments in economic theory from mid-19th century through mid-20th century. The breakdown of classical economics, marginalism, the theory of production and income distribution, Alfred Marshall's neoclassical economics, the development of welfare economics and macroeconomic analysis.`
`053358`	`ECON451`	`Labor Economics`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`This course focuses on theoretical and policy issues that relate to the operation of labor markets. Topics include labor supply, labor demand, labor mobility, unemployment and the effect of various government policies on labor markets. A wide range of government policies on labor markets, including minimum-wage legislation, income transfer programs, and employment and training programs are examined.`
`053360`	`ECON453`	`Household Economics`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Systematic and integrative treatment of a range of household decisions that utilizes and extends intermediate consumer theory. Topics include household production, marriage and fertility, life-cycle models of consumption, learning and the allocation of time.`
`053361`	`ECON454`	`Economics of Education and Human Capital`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`This course deals with theoretical and policy issues relating to the development of human resources. Topics to be covered include: the theory and importance of investment in education and training; measuring the rate of return to education; racial and sexual discrimination; poverty and the distribution of income; analyzing the effectiveness of the American educational system; recent innovations in the organization of education; and issues in the financing of primary, secondary and higher education.`
`053362`	`ECON455`	`Comparative Economic Systems`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`A comparative survey of alternative economic systems. Topics include the theoretical foundations of economic systems, analysis of the structure and performance of important national economies, and the economics of transition from planned to market economies.`
`053363`	`ECON457`	`The Economy of Russia and the Soviet Union`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`An economic analysis of the history, development and operation of the Russian and Soviet economies from feudal Russia to the demise of the Soviet Union. Analysis of the institutional structure and performance of pre-1917 Russian agriculture and industry. Analysis of war, communism, the new economic policy, the Stalinist model, post-Stalin reforms and the end of the Soviet economic system.`
`053364`	`ECON463`	`Theory of Public Finance`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Economic theory of government finance. Social goals and economic criteria for tax,expenditure, transfer, regulatory, debt and stabilization policy.`
`053365`	`ECON464`	`State and Local Public Finance`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Analysis of state and local government economics. Application of social norms and economic criteria for evaluation of receipts (taxation, borrowing, user charges and transfers), outlays (education, transportation, law and justice, utilities, welfare, fire protection, health and others), and regulation and control (land use, environmental quality, utilities, transportation and others).`
`053366`	`ECON465`	`The Economics of Discrimination`	`3`	`You must have completed ECON101 or ECON101H with a grade of "C" or better to take this class.`	`This course examines economic theories, empirical evidence and economic policies that relate to discrimination in economic life. Discrimination will be examined in a range of economic markets, including labor, education, housing, mortgages, other loans and insurance. Discrimination by government also will be examined. The types of discrimination covered are based on ethnicity, gender, race and religion. However, the focus is on African Americans and women. The course emphasizes critical analysis of empirical evidence and economic models.`
`052107`	`ECON466`	`Global Aging and the Future of Social Insurance`	`3`	``	`This course examines the demographic causes for and the multiple social and economic effects of the unprecedented demographic trend of aging in the population of the U.S. and of countries throughout the world. This course prepares students to understand and to join the debates about social insurance programs (e.g. Social Secuirty and Medicare) into the 21st century in the U.S., the developed countries and third world nations. Specific topics include a visualization of the planet at mid-century and beyond, challenges from the unfunded liability of these programs, and the technique of generational accounting. Policy options to address the multifaceted dilemmas will be explored, including an overview of policies being implemented in other developed nations. Finally, personal strategies to address the expected trends are explored.`
`053367`	`ECON467`	`Health Economics`	`3`	`You must have completed ECON101 or ECON101H with a grade of "C" or better to take this class.`	`The course deals with the factors underlying the demand and supply of health and medical care services. Included are the market, voluntary nonprofit and governmental sectors of the industry. Special topics are the regional coordination of hospital facilities and programs, the consumer price index, and the measurement of benefits and costs of control programs.`
`053368`	`ECON471`	`Money and Capital Markets`	`3`	`You must have taken ECON 374 and ECON 311 and received a grade of "C" or better before taking this class.`	`Analysis of portfolio theory and the role of finance in the economy. Survey of sources and uses of funds of the major financial institutions in the contemporary American economy. Analysis of sources of funds, organizational structure, yields, and the impact on the macroeconomy of major money markets (federal funds, commercial paper, Treasury bills, etc.) and capital markets (state and local government securities, mortgages, bonds and stocks). Major international financial markets (foreign exchange, Euro-dollars) are discussed briefly.`
`053369`	`ECON472`	`Monetary Theory and Policy`	`3`	`You must have completed ECON 312 with a grade of "C" or better before taking this class.`	`A study of theories of monetary economics from the classical quantity theory to the contemporary monetarist view. Analysis of contemporary theory and empirical evidence on money supply and demand and the impact of money on the economy. Evaluation of monetary policy in a historical-analytical framework.`
`053371`	`ECON474`	`Intermediate Financial Management`	`3`	`You must have taken ECON 374 and ECON 311 and received a grade of "C" or better before taking this class.`	`A theoretical and applied treatment of corporate decisions including: investment in assets, financing with debt and equity, and distributions to shareholders. Other issues and decisions encountered in corporate financial management will also be discussed. This course is a continuation of ECON 374.`
`053372`	`ECON475`	`Financial Investment Analysis`	`3`	`You must have taken ECON 374 and ECON 311 and received a grade of "C" or better before taking this class.`	`An examination of financial assets, financial markets and investment portfolio decisions. Stocks, bonds and derivative securities and their risk and return characteristics are examined.`
`053373`	`ECON476`	`Portfolio  Analysis and Management`	`3`	`You must have taken ECON 374 and ECON 311 and received a grade of "C" or better before taking this class.`	`Application of economic analysis to the process of portfolio management, including objectives and risk preferences, portfolio constraints and optimization techniques (such as linear programming), scenario forecasting, asset allocation and individual asset selection.`
`053374`	`ECON477`	`Analysis of Derivative Securities`	`3`	`You must have taken ECON 374 and ECON 311 and received a grade of "C" or better before taking this class.`	`A survey of the nature of major financial derivative securities, including options, futures and swaps. Study of the theoretical models of derivative securities including the binomial options model and the Black-Scholes model. Evaluation of the role of options in hedging and arbitrage.`
`053375`	`ECON478`	`Real Estate Economics and Finance`	`3`	`You must have taken ECON 374 and ECON 311 and received a grade of "C" or better before taking this class.`	`This course focuses on the analysis and valuation of residential and commercial property. Topics include the financing or purchase of properties, factors that determine valuation and methods to evaluate investment in projects. This course is repeatable for credit.`
`100019`	`ECON479`	`Venture Capital and Capital Market Imperfections`	`3`	`You must take ECON 374 and receive a grade of "C" or better before taking this class.`	`Study of asymmetric information makes raising financing in traditional capital markets difficult for some types of firms, and how venture capital overcomes these difficulties.  Topics include theoretical models of asymmetric in capital markets, empirical analyses of how venture capitalists structure and monitor their investments, the performance of firms backed by venture capital, and how venture capitalists exit their investments.`
`053376`	`ECON481`	`International Trade Theory`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`A survey of the major theories of international trade. An analysis of why countries trade, what determines the commodity composition of international trade and the gains from trade. The theory of trade restrictions and the formulation of trade policy. Other topics include customs unions, international factor movements, cartels and commodity agreements, and trade policies for developing countries.`
`100143`	`ECON481H`	`International Trade Theory`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`A survey of the major theories of international trade. An analysis of why countries trade, what determines the commodity composition of international trade and the gains from trade. The theory of trade restrictions and the formulation of trade policy. Other topics include customs unions, international factor movements, cartels and commodity agreements, and trade policies for developing countries.`
`053377`	`ECON482`	`International Finance`	`3`	`You must have completed ECON 312 with a grade of "C" or better before taking this class.`	`Introduction to international monetary relations. A study of exchange rate determination, balance of payments phenomena and international monetary systems.`
`053379`	`ECON486`	`Topics in Economic Development`	`3`	`You must complete ECON 311 and ECON 312 and ECON 385 or ECON 387 with a C or better.`	`Application of economic analysis to a study of some of the major issues in the economics of development, including project appraisal (cost-benefit analysis), planning, sources of capital, the role of population growth and labor markets, and macroeconomic stabilization. This course is repeatable a maximum of 12 credits.`
`053382`	`ECON490`	`Analytic Methods in Economics`	`3`	`You must have completed ECON 311 with a grade of "C" or better before taking this class.`	`Study of linear algebra, derivatives, differentials and optimization. Each topic is followed by economic applications.`
`053383`	`ECON493`	`Individual Research in Economics`	`3`	``	`Open to economics majors with 3.2 grade point average or better in economics. Recommended Preparation: At least one 400-level course in the field in which the student proposes the research and the consent of instructor in the relevant field.`
`053430`	`EDUC199`	`Freshman Seminar`	`2`	``	` `
`050065`	`EDUC216`	`Foundations of Leadership Development`	`3`	`You must complete PSYC 100 with a C or better.`	`This course is designed to help develop effective, ethical leaders. The principles and practices of leadership will be addressed, incorporating opportunities to implement what is learned. It is a highly interactive course that requires extensive in-class discussion. The main goals are to help students better understand themselves, develop intercultural competence, communicate effectively in group settings, develop an ethical decision-making process, value civic engagement and actively apply leadership skills.`
`053447`	`EDUC299`	`Special Topics in Education.`	`0`	``	`Variable credit course is repeatable for a maximum of 6 credits .`
`050066`	`EDUC306`	`Lifespan Human Development`	`3`	`You must have completed PSYC 100 with a C or better before you can enroll in this course.`	`An introduction to human development through the lifespan. The course is designed specifically for nursing students and covers theoretical perspectives and empirical research on development from the prenatal period through senescence, with consideration of practical implications. Issues in physical, social, cognitive and affective development are examined.`
`053457`	`EDUC310`	`Inquiry into Education`	`2`	``	`This course introduces reflective practice as a foundation for the study of teaching and learning. Inquiry as a way of learning about schools, as well as about self as teacher and learner, will be explored through reflection on students' experiences with children and schooling. The macro- and micro-sociocultural contexts of education across diverse settings will be examined. Students will draw upon anthropological and sociological research methods to study the dynamics of classrooms, schools and communities. Field experiences are required in this course. Prerequisite: permission of the department`
`053458`	`EDUC310L`	`Inquiry Into Education - Field`	`1`	``	` `
`053459`	`EDUC311`	`Psychological Foundations of Education`	`3`	``	`The psychology of school learning will be explored. There will be an overview of theories of teaching, learning, motivation and related research, including the philosophical assumptions underlying each - within the dynamics of context of class, culture, race and gender issues - The overall focus will be an exploration of ways of knowing and ways that learners construct knowledge. Emphasis is placed on empirical findings and their implications for the process of schooling. Topics include instructional models and objectives, conditioning, skill acquisition, verbal learning, memory, problem-solving, creativity and discovery learning.`
`053461`	`EDUC313`	`Concepts and Practice of Peer-Assisted Learning I`	`2`	``	`This course is designed to train prospective peer tutors, undergraduate TAs, and student course discussion leaders in the theory-based techniques and methods of tutoring. Students will learn the roles of the tutor and the tutee and how the interaction of these roles promotes effective tutoring and learning. Areas of emphasis include collaborative/interactive learning, communication skills for tutoring, conducting successful tutoring sessions for varied learners and tutoring situations, and strategies for discipline and skill-specific tutoring. A range of teaching methods from lecture to experiential exercises will be used; active learning/participation is essential to course mastery. Students will model, practice, evaluate and develop tutoring techniques alone and in groups, and apply the principles and strategies they learn in actual tutoring sessions. Recommended Preparation:  A 200-level course or above in the tutoring discipline; completion of 29 credits with a 3.0 cumulative GPA and 3.0 subject GPA in the courses to be tutored; and permission of the instructor.`
`053462`	`EDUC314`	`Concepts and Practice of Peer-Assisted Learning II`	`2`	``	`Continuation of EDUC 313. Recommended Preparation: EDUC 313 and permission of the instructor`
`053482`	`EDUC356`	`Field Experience in Early Childhood Education (Level I).`	`2`	``	` `
`053487`	`EDUC387`	`Tutoring and Literacy`	`3`	``	`This course is designed to provide training and ongoing support to UMBC students who are serving as tutors in community-based programs. Students will explore issues related to literacy and will learn strategies for improving the tutored children's skills and interest in reading. Recommended Preparation: Sophomore standing or permission of the instructor`
`053488`	`EDUC388`	`Inclusion and Instruction`	`3`	``	`This course is designed to introduce students to strategies for differentiating instruction within general education classrooms. The course examines the legal, philosophical and programmatic underpinnings of instructional inclusion, broadly defined. Addressed in the course are approaches for adapting the curriculum - especially in the areas of reading, writing and math - to meet the needs of socio-culturally, linguistically, cognitively (e.g., dyslexic, dyscalculic) and behaviorally diverse student populations, including students identified traditionally as having special needs (e.g., gifted and talented, physically challenged).`
`053492`	`EDUC395`	`Television Production Techniques I`	`3`	``	` `
`053501`	`EDUC405`	`Special Issues in Early Childhood Education`	`0`	``	`Selected issues in early-childhood development, curriculum development and educational philosophy are discussed. The major focus of the seminar is determined in accord with the needs of the registrants. This variable credit course is repeatable for credit.`
`053504`	`EDUC410`	`Teaching Reading in the Content Areas: Part I`	`3`	``	`Major approaches to teaching reading to students in grades 7 to 12. Emphasis on skills in all content areas ranging from English to science, which the secondary teacher can apply toward improving secondary students' reading ability and their attitude toward reading. Emphasis is on literacy as a tool to increase learning. Prerequisite: Admission to teacher education and permission of the department`
`053505`	`EDUC411`	`Teaching Reading in the Content Areas: Part II`	`3`	`You must complete EDUC 410.`	`This course is designed to develop competency in the utilization of reading and writing strategies, assessments, vocabulary building, comprehension and special-needs adaptations. The secondary certification candidates should be able to demonstrate competency in their knowledge of contemporary theory, research,wisdom of practice, modeling and analysis, and protected practice. Field experiences are required in this course.`
`053506`	`EDUC412`	`Analysis of Teaching and Learning`	`3`	`You must complete EDUC 310 and EDUC 311.`	`This course is an introduction to a systematic approach to instruction. Special emphasis is placed on developing performance objectives, planning teaching strategies and formulating evaluation instruments to assess learning. The use of technological resources in instructional planning is emphasized. Students will develop skills to create meaningful learning experiences for students of diverse cultural, ethnic, linguistic and intellectual backgrounds. These skills are then practiced in actual peer teaching situations that may occur off campus.`
`050069`	`EDUC414`	`Adolescent Literature`	`3`	``	`A survey of literature written especially for adolescents of school age (12-18 years). Selections read cut across genre and age groups. Emphasis is on understanding the literature from an adolescent's point of view and on devising teaching strategies to create and enhance an adolescent's understanding of the works. Attention also is paid to the development of critical skills and criteria for evaluating adolescent literature. Prerequisite: Admission to teacher education and permission of the department`
`050070`	`EDUC416`	`Materials for Teaching Reading`	`3`	``	`This course is designed to assist pre-service and in-service teachers in understanding literacy acquisition and processes by observing and analyzing children's language, reading and writing development as well as examining current and historical issues in language and literacy practice and research. It is organized around current, accepted, research-based theoretical models that account for individual differences in reading. Introduction to language structures including spoken syllables, phonemes, graphemes, and morphemes is included in this course. Participants will apply knowledge of the core areas of language to reading acquisition in terms of first and second language acquisition, typical development and exceptionalities. Participants will be introduced to current scientific research.`
`053509`	`EDUC417`	`Processes and Acquisition of Reading`	`3`	`You must complete EDUC 412.`	`This course is designed to assist pre-service and in-service teachers in understanding literacy acquisition and processes by observing and analyzing children's language, reading and writing development as well as examining current and historical issues in language and literacy practice and research. It is organized around current, accepted, research-based theoretical models that account for individual differences in reading. Introduction to language structures including spoken syllables, phonemes, graphemes, and morphemes is included in this course. Participants will apply knowledge of the core areas of language to reading acquisition in terms of first and second language acquisition, typical development and exceptionalities. Participants will be introduced to current scientific research.`
`053510`	`EDUC418`	`Instruction of Reading`	`3`	`You must complete EDUC 417.`	`This course is designed to give the prospective classroom teacher familiarity with a representative array of research-based instructional techniques and strategies in the area of reading and writing. Course content includes the principles for developing reading and language arts programs in the elementary classroom. The course includes examinations of current approaches, methodologies and strategies for teaching reading and writing as strategic processes; utilizing a variety of developmentally appropriate word recognition, comprehension and composition strategies; and basing instruction on evidence of individual need. Students will be engaged in reading and writing in a workshop model as well as a field experience that requires teaching both reading and writing lessons to elementary students.`
`053511`	`EDUC419`	`Assessment for Reading Instruction`	`3`	`You must complete EDUC 418 or EDUC 439.`	`This course is designed to assist pre-service teachers in conducting classroom-based literacy assessments. The course content includes an examination of and practice using a range of assessments for reading, writing and related skills, focusing on the relationship between assessment and instructional planning for diverse learners. Instruction will focus on the purpose of assessment, types of assessment tools, how to administer and use several formal and informal assessments, how to interpret assessment results, and how to communicate assessment results to a variety of constituents.`
`053512`	`EDUC420`	`Teaching Mathematics in the Elementary School`	`3`	``	`This course introduces mathematics teaching at the elementary and middle school levels, including: (1) school mathematics content, (2) students' mathematical thinking; (3) designing, selecting, and sequencing mathematical learning experiences and assessments; and (4) your beliefs about mathematics and mathematics learning and teaching. The course emphasizes teaching for understanding; inquiry learning; and representing mathematics with manipulatives and other technologies. Topics include mathematical reasoning, problem solving, and proof; spatial reasoning, geometry, and measurement; number, number systems, and operations; and algebraic thinking across the grades. A field experience is required. Recommended Preparation: EDUC412 and permission of the department`
`053513`	`EDUC421`	`Teaching Science in the Elementary School`	`3`	`You must complete EDUC 412.`	`This course is designed to help teachers acquire general science understanding and to develop teaching materials for practical use in classrooms. It includes experiments, demonstrations, constructions, observations, field trips and use of audiovisual material. Field experience is required in this course.`
`053514`	`EDUC422`	`Social Studies in the Elementary School`	`3`	`You must complete EDUC 412.`	`This course provides an analysis of the social studies curriculum in elementary schools. Aims and trends in social studies curricula are examined. Teacher candidates will develop methods of instruction and evaluation. Field experiences are required in this course.`
`050068`	`EDUC423`	`Methods of Teaching Speech and Drama in the Secondary School`	`3`	`You must complete EDUC 412.`	`Class plans, units and courses of study for teaching speech, oral interpretation and drama in high school. Objectives of speech and drama education, evaluation of performances, choice of plays for high schools and methods of directing high school dramatic activities.`
`053515`	`EDUC424`	`Issues in Early Childhood Curriculum`	`1`	``	`Teacher candidates will critically examine current issues in early-childhood education as they relate to the social, intellectual, physical and personal development of young children. These issues will be evaluated from a child-centered perspective and within the contexts of family, school, community and society.`
`050067`	`EDUC425`	`Methods of Teaching English in the Secondary Schools`	`3`	`You must complete EDUC 412.`	`This course examines how notions of race and ethnicity are represented, contested, and reconsidered in U.S. literature. Special attention will be paid to how race intersects with gender, sexuality, and class. Course readings are drawn from writers of a range of ethnic backgrounds. Recommended Preparation: Completion of 200-level literature course with a grade of C or better.`
`053516`	`EDUC426`	`Mathematics in the Secondary School`	`3`	`You must complete EDUC 412.`	`This course introduces mathematics teaching at the middle and high school levels, including: (1) secondary school mathematics content, (2) understanding and developing students' mathematical thinking;  (3) designing, selecting, and sequencing mathematical tasks and assessments;  and (4) your beliefs about mathematics learning and teaching and mathematics itself.  The course emphasizes teaching for understanding; discovery learning; and representing mathematics with manipulatives, graphing calculators, Geometer's Sketchpad, and other technologies.  Topics include innovative curricula for learning and teaching mathematical reasoning, problem solving, and proof; proportional reasoning; algebraic thinking; trigonometry; spatial reasoning, geometry, and measurement; and probabilistic thinking.  A semester-long, one-day per week field experience is required.  Students in this course also enroll in Phase I of the 100 day internship.`
`053517`	`EDUC427`	`Science in the Secondary School`	`3`	`You must complete EDUC 412.`	`This course develops a holistic, interdisciplinary understanding of science. Develops skills at designing, using and assessing various developmentally appropriate teaching strategies. Focuses on inquiry and action. Active learning strategies/tools, including reflective inquiries, demonstrations, constructions, field trips, observations and authentic teaching experiences. Use of educational technologies to enhance the teaching and learning of science. Emphasison adapting subject matter to learner diversity. Field experiences are required in this course.`
`053518`	`EDUC428`	`Social Studies in the Secondary Schools`	`3`	`You must complete EDUC 412.`	`The course introduces participants to the concepts, issues, and methods relevant to teaching social studies at the secondary level. Teacher candidates will gain conceptual knowledge and practical experience with planning, materials development, instructional approaches, and assessment in multiple-ability classrooms. The course also provides participants with an introduction to various audiovisual and instructional technologies for use in curricular planning and instruction. Field experiences are required for this course.`
`053519`	`EDUC429`	`Methods of Teaching Modern Foreign Language in Secondary Schools`	`3`	`You must complete EDUC 412.`	`This course reviews principles of second language acquisition and presents an overview of methods and approaches of teaching foreign languages. The students analyze current teaching/learning approaches, instructional curricula, and lesson planning in the context of the The National Foreign Language Standards, Communicative Competence, and a Proficiency Orientation. Class activities include lectures, class discussions, demonstrations, observations and reflections, and lesson and unit planning. Field experiences are required in this course.`
`101953`	`EDUC432`	`Accommodating Special Needs in Early Childhood Education.`	`3`	``	`This course offers the history of early childhood education, the basic characteristics of various disabilities,child development, and addressing the needs of young children with disabilities in literacy, math, cognition,social development and play.`
`101959`	`EDUC433`	`Mathematics Processes in Early Childhood Education`	`4`	``	`Teacher candidates will study how young children acquire mathematical content and processes.  Candidates will also learn how to support, encourage and foster mathematical thinking in young children in a 3 hour/week field experience in a primary grade as part of their Phase I internship.  In order to align with the Maryland Common Core State Standards/Maryland College and Career Ready Standards, this course places a special emphasis on how to teach concepts about whole numbers, geometry, spatial relationships and measurement.`
`101961`	`EDUC434`	`Science Processes in Early Childhood Education`	`4`	``	`This course involves experiential learning with materials, equipment and processes central to teaching science to young children. In a 3 hour/week field placement, students will use their classrooms and outdoor environments to practice teaching science to young children.  Inquiry practices and integrated curriculum will be emphasized.  Students will design and implement a unit of study to meet NAEYC Standards.`
`053521`	`EDUC439`	`Observation and Assessment in Early Childhood`	`3`	`You must complete PSYC 100 with a C or better.`	`Teacher candidates learn to observe young children, plan, implement and evaluate activities to foster children's development and to use naturalistic assessment, including work sampling. Teacher candidates begin constructing their professional portfolio following NAEYC standards, which will be used throughout the early- childhood program.`
`053522`	`EDUC440`	`Field Experience in Early Childhood Education - 1`	`2`	`You must complete PSYC 100 with a C or better.`	`This course is taken jointly with EDUC 439. Teacher candidates work in nursery schools, child care centers, Head Start programs and public schools for two mornings per week. They observe, plan and implement activities supporting the observational and assessment processes focused on in EDUC 439 and assist the classroom teacher with children's daily routines.`
`053523`	`EDUC441`	`Children's Literature and Other Materials for Early Literacy Development`	`3`	`You must complete EDUC 439.`	`The primary focus will be on developing knowledge of children's literature and a variety of texts and other media, including technology for young children, and selecting and evaluating developmentally appropriate materials to address children's reading interests and needs. Issues pertaining to parent involvement and community resources to support the goals of the reading program also will be discussed.`
`053524`	`EDUC442`	`Process Seminar in Early Childhood Education- Creative Media Level I`	`1`	`You must complete EDUC 439.`	`This seminar involves experiential learning, using creative materials and activities appropriate for the early-childhood curriculum.`
`053525`	`EDUC443`	`Process Seminar in Early Childhood Education - Math/Science Level II`	`2`	`You must complete EDUC 439.`	`This seminar involves experiential learning with materials, equipment and processes related to mathematics and science curricula.`
`053526`	`EDUC444`	`Teaching of Problem Solving and Thinking Skills in Early Childhood Education, Level II`	`3`	`You must complete EDUC 439.`	`Problem-solving and thinking as an educational process with a focus on children's learning in mathematics, science, social studies and creative arts in the early-childhood curriculum. Emphasis is on meeting the needs of individual children. Focus is on teaching methods and instructional strategies using early-childhood materials and learning centers (books, blocks, dramatic play, sand/ water, art materials, special artifacts, etc.) to teach social studies, mathematical and scientific concepts, and creative arts through an integrated curriculum. Candidates construct instructional units.`
`053527`	`EDUC445`	`Field Experience in Early Childhood Education, Level II`	`1`	`You must complete EDUC 440.`	`Teacher candidates work in supervised pre-k or kindergarten classrooms two mornings a week. Each student is required to do a series of observations on the  school and classroom, plan and carry out activities in reading, social studies, and science. Diversifying instruction and incorporating technology are<br />expectations.Candidates assist the teacher with the children's daily routine.`
`053528`	`EDUC446`	`Language, Literacy, and Intellectual Development of Young Children`	`3`	`You must complete EDUC 439.`	`This course will focus on the ongoing relationship among the communication skills (listening, speaking, writing and reading) within young children's lives in their families, educational settings and communities. Teacher candidates will study children's development of language and literacy within diverse economic, ethnic and language contexts to better understand and appreciate their role in children's early language and literacy development.`
`053529`	`EDUC447`	`Teaching of Reading and Writing in Early Childhood Education`	`3`	`You must complete EDUC 444.`	`Various philosophies of teaching reading are examined. Students study and develop specific techniques in teaching children decoding skills, comprehension skills, appreciation for reading as a lifelong habit and the relationship of reading to other language arts. Various curricular approaches to reading, word study, and writing are studied.`
`053530`	`EDUC448`	`Field Experience in Early Childhood Education-Phase I Internship`	`1`	`You must complete EDUC 445.`	`Students work in supervised public school classrooms in grades 1, 2 or 3 in a professional development school two mornings a week. Each student is required to observe children in activities related to reading and to develop and carry out reading activities. This is Phase I of the internship.`
`053531`	`EDUC450`	`Internship in Student Teaching in Early Childhood Education`	`10`	``	`Teacher candidates have two placements in early-childhood classrooms in professional development schools. One placement is in a pre-kindergarten or kindergarten, the other in a primary grade. Through a process of increased responsibility, teacher candidates plan, implement and assess lessons and activities for the total classroom, becoming totally responsible for planning and implementation for at least two weeks in each classroom. Teacher candidates should expect to participate in the school for a period longer than one semester, for a total of 100 days, including the days completed in EDUC 448. Prerequisite: Completion of all methods courses in the program and permission of the department.`
`053532`	`EDUC451`	`Internship Seminar in Early Childhood Education`	`3`	``	`A professional content course complementing the intensive clinical experience in which teacher candidates analyze the total instructional program and its context. Content includes assigned readings related to the curriculum and teacher candidates' own planning and evaluation of their teaching. Teacher candidates will complete electronic professional portfolios consistent with NAEYC standards. Prerequisite: Completion of all methods courses and permission of the department.`
`053533`	`EDUC452`	`Student Teaching in the Elementary Schools`	`10`	``	`Directed and evaluated teaching experience in selected classrooms. There is an increased emphasis on independent teaching, maintaining learning communities that serve the needs of diverse learners, an emphasis on discipline-specific planning, implementing and assessing instruction, and focus on academic and social outcomes. Prerequisite: Completion of all methods courses required for certification and permission of the department`
`053534`	`EDUC453`	`Elementary Internship Seminar`	`2`	``	`The seminar provides a forum for discussing and processing field experiences and current issues/problems in teaching and learning. Topics that are addressed include classroom management, assessment strategies, the culture of schools and becoming a professional. The seminar provides a supportive arena to integrate theory, research and practice while preparing teacher candidates for the responsibilities of classroom instruction. Prerequisite: Completion of the Phase I internship and permission of the department.`
`053536`	`EDUC456`	`Student Teaching in the Secondary Schools`	`10`	``	`This intensive internship provides students with the opportunity to take progressive responsibility for teaching in their specialty area and developing professional teaching competencies in a Professional Development School with support from a mentor teacher and a university supervisor Prerequisite: Completion of all methods courses required for certification and permission of the department.`
`053537`	`EDUC457`	`Secondary Internship Seminar`	`2`	``	`The seminar provides a forum for discussing and processing field experiences and current issues/problems in teaching and learning. The seminar has been designed to help teacher candidates analyze the many facets of teaching and to become a reflective practitioner. Topics that are addressed include classroom management, assessment strategies, the culture of schools, developing evidence-based portfolio, and becoming a professional. Prerequisite: Completion of the Phase I internship and permission of the department.`
`053538`	`EDUC458`	`Internship in P-12 Education`	`10`	``	`This intensive internship provides students with the opportunity to take progressive responsibility for teaching in their specialty area and developing professional teaching competencies in a Professional Development School with support from a mentor teacher and a university supervisor.`
`053543`	`EDUC470`	`Elementary School Curriculum`	`0`	``	`This course provides an in-depth study of curriculum problems, including extensive reading, critical analysis of research and implications for teaching strategies in the various curriculum areas.`
